"","age","Mspline_tlcoSI_Male","Mspline_tlcoSI_Female","Mspline_kcoSI_Male","Mspline_kcoSI_Female","Mspline_vaSI_Male","Mspline_vaSI_Female","Mspline_tlcoTr_Male","Mspline_tlcoTr_Female","Mspline_kcoTr_Male","Mspline_kcoTr_Female"
"174",48.25,0.0167278354133291,0.0121172110848349,0.00662133128389764,0.000260358648683567,0.0138783255479247,0.0162369949011527,0.0167278351337359,0.0121172115707884,0.00662132251927749,0.00026035820371284
"175",48.5,0.0152996970684338,0.0111368460205128,0.00593451769673248,0.000112431040505179,0.013161421770592,0.0153359179927399,0.0152996967863919,0.0111368465052708,0.00593450906641646,0.000112430601913793
"176",48.75,0.0138698000692301,0.01015432408159,0.00524653064580693,-3.38844260507898e-05,0.0124433725548396,0.0144284976149844,0.0138697997850876,0.0101543245650966,0.00524652215157495,-3.38848579000128e-05
"177",49,0.0124380443318142,0.00916976778754819,0.00455729998792265,-0.000178580746863499,0.0117241434595101,0.0135148309476136,0.0124380440459371,0.00916976826974292,0.00455729163156038,-0.000178581171617509
"178",49.25,0.0110043333338616,0.00818329644510829,0.00386675802528647,-0.000321651404156409,0.0110037013950794,0.0125950134791246,0.0110043330466354,0.00818329692593167,0.00386674980858626,-0.00032165182146926
"179",49.5,0.00956857400069921,0.00719502623511659,0.00317483942496199,-0.000463090350002471,0.0102820145826197,0.0116691390419525,0.0095685737125244,0.00719502671450289,0.00317483134971708,-0.000463090759537543
"180",49.75,0.00813067659853672,0.00620507030077277,0.00248148114822877,-0.000602891989218701,0.00955905250984124,0.0107372998491417,0.00813067630982989,0.00620507077865806,0.00248147321623682,-0.000602892390650034
"181",50,0.00669055463063017,0.00521353883066755,0.0017866223787748,-0.000741051163599238,0.00883478589175724,0.00979958652868085,0.00669055434182564,0.0052135393069852,0.00178661459183749,-0.000741051556605754
"182",50.25,0.0052481247362568,0.00422053913836873,0.00109020445481489,-0.000877563136882031,0.00810918663032467,0.00885608815610794,0.00524812444780398,0.0042205396130468,0.00109019681473521,-0.000877563521151536
"183",50.5,0.00380330659393557,0.0032261768046995,0.000392170802725911,-0.00101242607707652,0.00738222777717112,0.00790690008537709,0.00380330630629899,0.00322617727766783,0.000392163311309535,-0.00101242645230393
"184",50.75,0.00235602282867298,0.00223056667148391,-0.000307533125758042,-0.00114566666380522,0.00665388349693785,0.00695220399339291,0.00235602254233225,0.00223056714267234,-0.000307540466702783,-0.00114566702969299
"185",51,0.000906207442771034,0.0012338281185782,-0.00100895109391352,-0.00127732882115117,0.00592412888262572,0.00599223276678806,0.000906207158214656,0.00123382858791921,-0.00100895828258052,-0.00127732917740619
"186",51.25,-0.000546153099161728,0.000236077475932461,-0.00171207352436298,-0.00140745572360013,0.00519293920570263,0.00502721438431841,-0.000546153381439041,0.000236077943358559,-0.00171208055897498,-0.00140745606993509
"187",51.5,-0.00200105323010824,-0.000762572015400309,-0.00241687199792295,-0.00153608953374373,0.004460290461477,0.00405737116481752,-0.00200105350961444,-0.000762571549953073,-0.0024168788767347,-0.00153608986987575
"188",51.75,-0.00345848693354078,-0.0017620101184832,-0.00312331853174452,-0.00166327142814859,0.00372615966055534,0.00308291991749243,-0.0034584872097847,-0.00176200965507611,-0.00312332525304493,-0.00166327175380143
"189",52,-0.00491844778924211,-0.00276212952076271,-0.00383138559829632,-0.00178904162315385,0.00299052479695483,0.00210407208593999,-0.0049184480617388,-0.00276212905945883,-0.00383139216040762,-0.00178904193805529
"190",52.25,-0.00638092899159304,-0.00376282575438047,-0.00454104611733408,-0.00191343939924904,0.00225336481742922,0.00112103388952889,-0.00638092925985578,-0.00376282529523664,-0.00454105251861003,-0.00191343970313262
"191",52.5,-0.00784592336645851,-0.00476399712022246,-0.00525227344683188,-0.00203650312514103,0.00151465959128494,0.0001340064598363,-0.00784592363000236,-0.00476399666329819,-0.00525227968566,-0.00203650341774519
"192",52.75,-0.00931342338758157,-0.00576554461369305,-0.00596504137429799,-0.0021582702809142,0.000774389881165405,-0.000856814026919395,-0.00931342364592336,-0.00576554415904074,-0.00596504744909421,-0.00215827056197959
"193",53,-0.0107834211926825,-0.00676737185595133,-0.00667932410906413,-0.00227877748149741,3.25373153469144e-05,-0.00185123622309824,-0.0107834214453408,-0.00676737140362693,-0.00667933001827636,-0.00227877775077268
"194",53.25,-0.0122559085984122,-0.00776938501858826,-0.00739509627356716,-0.00239806049698954,-0.000710915639807297,-0.00284907348108732,-0.012255908844911,-0.00776938456864418,-0.00739510201567173,-0.00239806075422777
"195",53.5,-0.013730877114984,-0.00877149276056333,-0.00811233289561297,-0.00251615427522145,-0.00145598570586714,-0.0038501437352334,-0.0137308773548446,-0.0087714923130493,-0.00811233846911774,-0.00251615452017706
"196",53.75,-0.0152083179611147,-0.00977360616242962,-0.00883100940106996,-0.00263309296245007,-0.00220268881817276,-0.00485426938375255,-0.0152083181938618,-0.00977360571739361,-0.00883101480450987,-0.00263309319488503
"197",54,-0.0166882220764801,-0.0107756386599558,-0.00955110160556716,-0.00274890992265142,-0.00295104015004632,-0.00586127717291518,-0.0166882223016405,-0.0107756382174484,-0.00955110683750604,-0.00274891014233081
"198",54.25,-0.018170580135985,-0.0117775059845675,-0.0102725857077401,-0.00286363775772402,-0.00370105413713162,-0.0068709980873578,-0.0181705803530905,-0.0117775055446305,-0.0102725907667698,-0.00286363796441602
"199",54.5,-0.0196553825621386,-0.0127791261031733,-0.0109954382823649,-0.00297730832639997,-0.00445274449983835,-0.00788326724232569,-0.0196553827707167,-0.0127791256658538,-0.0109954431671024,-0.00297730851988032
"200",54.75,-0.0211426195357536,-0.0137804191589979,-0.0117196362708505,-0.00308995276246238,-0.00520612426677936,-0.00889792377818743,-0.0211426197353379,-0.0137804187243376,-0.0117196409799414,-0.00308995294250725
"201",55,-0.0226322810106243,-0.0147813074148493,-0.0124451569785631,-0.00320160149262039,-0.00596120579494119,-0.00991481075866396,-0.0226322812007504,-0.0147813069828908,-0.0124451615106773,-0.00320160165901129
